source,target,tgt_lng
Gambit Urfa,阿福奇兵,zh-TW
Gambit d'Urf,阿福奇兵,zh-TW
Gambito de Urf,阿福奇兵,zh-TW
Gantelet du Néant,虛空武鬥場,zh-TW
Gantelet précieux,寶石手套,zh-TW
Gants d'entraînement,格鬥手套,zh-TW
Gants de voleur,竊賊手套,zh-TW
Gants porte-bonheur,好運手套,zh-TW
Gants à gogo,究極暴擊,zh-TW
Gardienii gemeni,雙生守衛,zh-TW
Gardiens jumeaux,雙生守衛,zh-TW
Gargoyl Taşzırhı,石像鬼磐核,zh-TW
Gargoyle Stoneplate,石像鬼磐核,zh-TW
Garra de Dragón,龍之爪,zh-TW
Garra de dragón,龍之爪,zh-TW
Garra de merodeador,潛行者之爪,zh-TW
Garra del Merodeador,潛行者之爪,zh-TW
Garra do Dragão,龍之爪,zh-TW
Garra do Espreitador,潛行者之爪,zh-TW
Gasto con cabeza,精打細算,zh-TW
Gauner,私房錢,zh-TW
Gebieter,仲裁者,zh-TW
Gebieter-Emblem,仲裁者徽章,zh-TW
Geburtstags-Wiedervereinigung,生日團聚,zh-TW
Geburtstagsgeschenk,生日禮物,zh-TW
Gecenin Kıyısı,夜色緣界,zh-TW
Geduld ist eine Tugend,耐心是美德,zh-TW
Geeinter Halt,並肩作戰,zh-TW
Gefälligkeit des Schrotthändlers,女武神的祝福,zh-TW
Gegenstand-Wundertüte,道具組合包I,zh-TW
Geist der Erlösung,靈魂救贖,zh-TW
Geistessicht,振奮盔甲,zh-TW
Geld fürs Mittagessen,午餐錢,zh-TW
Geldgierig,貪財,zh-TW
Geldmonsun,天外橫財,zh-TW
Gelişmiş Güç,增幅之力,zh-TW
Gelungenes Comeback,逆轉佳話,zh-TW
Gespiegelte Persona,鏡像人格,zh-TW
Gheara dragonului,龍之爪,zh-TW
Gheara lui Sterak,史特拉克手套,zh-TW
Gheara prădătorului,潛行者之爪,zh-TW
Giant Slayer,巨人殺手,zh-TW
Giant and Mighty,巨大強悍,zh-TW
Giant's Belt,巨人腰帶,zh-TW
Gigante e Poderoso,巨大強悍,zh-TW
Gigantes y fuertes,巨大強悍,zh-TW
Gilded Steel,不破金鋼,zh-TW
Gioco di lama di Yasuo,犽宿的迅雷之技,zh-TW
Gioiello della rovina,枯萎寶石,zh-TW
Giuvaier blestemat,枯萎寶石,zh-TW
Gizemli Trençkot,可疑風衣,zh-TW
Giáp Lưới,鎖子甲,zh-TW
Giáp Máu Warmog,好戰者鎧甲,zh-TW
Giáp Tay Seeker,探索者護腕,zh-TW
Giáp Tâm Linh,振奮盔甲,zh-TW
Giáp Tự Chế,臨時戰甲,zh-TW
Giáp Vai Nguyệt Thần,均等法衣,zh-TW
Giù come birilli,鴻運當頭,zh-TW
Giọt Lệ Bi Ai,淚如泉湧,zh-TW
Giữ Vững Hàng Ngũ,堅守前線,zh-TW
Glaives à gogo,殺出血路,zh-TW
Glaskanone,玻璃大砲I,zh-TW
Glass Cannon,玻璃大砲I,zh-TW
Glückshandschuhe,好運手套,zh-TW
Gnar,吶兒,zh-TW
Goana după bani,貪財,zh-TW
God-Blessed,神寵者,zh-TW
Going Long,長久之計,zh-TW
Golden Gamble,黃金豪賭,zh-TW
Goldenes Glücksspiel,黃金豪賭,zh-TW
Golem,魔像,zh-TW
Golpetazos,砸起來,zh-TW
Good For Something,死得有價值I,zh-TW
Gotowy Komplet,頂裝,zh-TW
Gottgesegnet,神寵者,zh-TW
Grabież,盜取,zh-TW
Gracia de Ahri,阿璃的祝福,zh-TW
Gracia de Aurelion Sol,翱銳龍獸的祝福,zh-TW
Gracia de Ekko,艾克的祝福,zh-TW
Gracia de Evelynn,伊芙琳的祝福,zh-TW
Gracia de Kayle,凱爾的祝福,zh-TW
Gracia de Soraka,索拉卡的祝福,zh-TW
Gracia de Thresh,瑟雷西的祝福,zh-TW
Gracia de Varus,法洛士的祝福,zh-TW
Gracia de Yasuo,犽宿的祝福,zh-TW
Gracia de resurrección,復活祝福,zh-TW
Gragas,古拉格斯,zh-TW
Gran Compromiso,強力投入,zh-TW
Grandalhão,大小很重要,zh-TW
Grande e possente,巨大強悍,zh-TW
Grandeur et démesure,巨大強悍,zh-TW
Graves,葛雷夫,zh-TW
Gredin,私房錢,zh-TW
Griffe de dragon,龍之爪,zh-TW
Griffes du rôdeur,潛行者之爪,zh-TW
Group Hug,大家來抱抱,zh-TW
Groß und mächtig,巨大強悍,zh-TW
Große Wundertüte,大禮包,zh-TW
Groźniejsze Ostrza,更致命之刃,zh-TW
Gruboskórność Steraka,史特拉克手套,zh-TW
Grup Kucaklaşması,大家來抱抱,zh-TW
Grupowy Przytulas,大家來抱抱,zh-TW
Gruppenumarmung,大家來抱抱,zh-TW
Gräte,惡鯊火箭,zh-TW
Größe ist alles,大小很重要,zh-TW
Guantelete Deslumbrante,寶石手套,zh-TW
Guantelete de Sterak,史特拉克手套,zh-TW
Guantelete del Vacío,虛空武鬥場,zh-TW
Guantelete enjoyado,寶石手套,zh-TW
Guantes de Combate,格鬥手套,zh-TW
Guantes de Ladrón,竊賊手套,zh-TW
Guantes de combate,格鬥手套,zh-TW
Guantes de la Suerte,好運手套,zh-TW
Guantes de la suerte,好運手套,zh-TW
Guantes de ladrón,竊賊手套,zh-TW
Guanti del ladro,竊賊手套,zh-TW
Guanti fortunati,好運手套,zh-TW
Guanto del Vuoto,虛空武鬥場,zh-TW
Guanto ingioiellato,寶石手套,zh-TW
Guantoni,格鬥手套,zh-TW
Guardabrazo del Buscador,探索者護腕,zh-TW
Guardia de la Corona,皇冠守衛,zh-TW
Guardianes Gemelos,雙生守衛,zh-TW
Guardianes gemelos,雙生守衛,zh-TW
Guardiani gemelli,雙生守衛,zh-TW
Guardiões Gêmeos,雙生守衛,zh-TW
Guarida del Barón,巴龍巢穴,zh-TW
Guinsoo dühpengéje,鬼索的狂暴之刃,zh-TW
Guinsoo'nun Hiddeti,鬼索的狂暴之刃,zh-TW
Guinsoo's Rageblade,鬼索的狂暴之刃,zh-TW
Guinsoos Wutklinge,鬼索的狂暴之刃,zh-TW
Guinsoova zuřivá čepel,鬼索的狂暴之刃,zh-TW
Gume do Infinito,無盡之刃,zh-TW
Gun Goddess,重槍女武神,zh-TW
Gustări dulci,美味甜點,zh-TW
Gwałtowny Wzrost,爆炸性成長,zh-TW
Gwen,關,zh-TW
Gwiezdna Kombinacja,星光連鎖,zh-TW
Gyakorlófigura,訓練假人,zh-TW
Gyanús ballonkabát,可疑風衣,zh-TW
Gyors kettős gyilkosság,疾速雙殺,zh-TW
Gyorstüzelő ágyú,衝擊火炮,zh-TW
Gyári új,再造神兵,zh-TW
Gyógyító gömbök I.,治療靈球,zh-TW
Gói Bảo Hộ,物資箱,zh-TW
Gói Tăng Cường,強化包,zh-TW
Gói Đăng Ký Hạng Sang,訂購奢侈品,zh-TW
Gólem,魔像,zh-TW
Gökten Yağan Altın,天外橫財,zh-TW
Gölge Kukla,影子木偶,zh-TW
Gömülü Hazineler,地底寶藏,zh-TW
Göttlicher Duellant,神鬥士,zh-TW
Gözyaşları Sel,淚如泉湧,zh-TW
Gözü Yükseklerde,長久之計,zh-TW
Gümüşgöl Şafağı,銀織黎明,zh-TW
Günateşi Pelerini,日炎斗篷,zh-TW
Günateşi Tahtası,日炎燎原,zh-TW
Gürtel des Riesen,巨人腰帶,zh-TW
Gürtel im Überfluss,腰帶多多,zh-TW
Gürzün Dileği,戰錘意志,zh-TW
Güç Kadehi,力量聖杯,zh-TW
Güçle İşlenmiş,力量鍛造,zh-TW
Güçlü Ama Kırılgan,玻璃大砲I,zh-TW
Güçlü Arkadaşlık,鑄造朋友,zh-TW
Güçlü Şapkalar,致死之帽,zh-TW
Găng Bảo Thạch,寶石手套,zh-TW
Găng Hư Không,虛空武鬥場,zh-TW
Găng Đạo Tặc,竊賊手套,zh-TW
Găng Đấu Sĩ,縮小手套,zh-TW
Găng Đấu Tập,格鬥手套,zh-TW
Găsește-ți centrul de putere,中堅自強,zh-TW
Gươm Biến Ảnh,鬼使彎刀,zh-TW
Gậy Quá Khổ,巨型魔棒,zh-TW
Hacha de Fuego Infernal,獄火手斧,zh-TW
Hacha infernal,獄火手斧,zh-TW
Hachette infernale,獄火手斧,zh-TW
Haciendo Amistades,鑄造朋友,zh-TW
Hadiösvény,刃馬合一,zh-TW
Hadúri dicsőség,戰國軍閥之榮耀,zh-TW
Hai il mio arco,吾弓效命於您,zh-TW
Hai odată,嘟嘟好,zh-TW
Hajnalmag,破曉之核,zh-TW
Halbleiter,半導體,zh-TW
Halla tu Centro,中堅自強,zh-TW
Halszálka,惡鯊火箭,zh-TW
Halálosabb pengék,更致命之刃,zh-TW
Halálosabb süvegek,致死之帽,zh-TW
Halálpenge,死神之刃,zh-TW
Hand Of Justice,正義手套,zh-TW
Hand der Gerechtigkeit,正義手套,zh-TW
Handelssektor,交易之星,zh-TW
Handschuhe des Diebs,竊賊手套,zh-TW
Hang Ổ Baron,巴龍巢穴,zh-TW
Hanger fantomatic,鬼使彎刀,zh-TW
Hard Commit,強力投入,zh-TW
Hatalmas sorsolás,史詩重抽,zh-TW
Hatalmas és erős,巨大強悍,zh-TW
Határtalan penge,無盡之刃,zh-TW
Haute tension,高電壓,zh-TW
Hayat Deneyimi,耐心學習,zh-TW
Hayattan Bir Kesit,循序漸進,zh-TW
Hazine Avı,尋寶遊戲,zh-TW
Haşmetli Hydra,泰坦九頭蛇,zh-TW
Haşmetli Macera,非凡冒險,zh-TW
Healing Orbs,治療靈球,zh-TW
Heart of Steel,心之抗防,zh-TW
Heavy Is the Crown,沉重王冠,zh-TW
Hecho a medida,量身訂做,zh-TW
Hedef Kuklası,訓練假人,zh-TW
Hedefe Kilitlenen Optik,目標鎖定光學,zh-TW
Hedge Fund,避險基金,zh-TW
Heilende Echos,治癒回音,zh-TW
Heilende Kugeln,治療靈球,zh-TW
Heldenhafte Wundertüte,英雄禮包,zh-TW
Hellfire Hatchet,獄火手斧,zh-TW
Hemos venido a jugar,高風險高報酬,zh-TW
Heraldo de Zeke,錫柯的號角,zh-TW
Heraldo de las Tinieblas de Zeke,錫柯的悲鳴號角,zh-TW
Heraldo desolador de Zeke,錫柯的悲鳴號角,zh-TW
Herausforderer,極速快手,zh-TW
Herausforderer-Emblem,極速快手徽章,zh-TW
Herausforderer-Modus,極速快手模式,zh-TW
Herb Dynastii Promiennej Tarczy,光盾之紋,zh-TW
Herkesin Katili,無差別屠殺,zh-TW
Heroic Grab Bag,英雄禮包,zh-TW
Heroiczna Torba z Różnościami,英雄禮包,zh-TW
Herold Zeke'a,錫柯的號角,zh-TW
Herz aus Stahl,心之抗防,zh-TW
Heul doch …,淚如泉湧,zh-TW
Hex Dorado de Yasuo,犽宿的黃金棋格,zh-TW
Hexagone doré de Yasuo,犽宿的黃金棋格,zh-TW
Hexagonul auriu al lui Yasuo,犽宿的黃金棋格,zh-TW
Hextech Gunblade,海克斯科技槍刃,zh-TW
Hextech Silahkılıç,海克斯科技槍刃,zh-TW
Hextech lőpenge,海克斯科技槍刃,zh-TW
Hextech-Gunblade,海克斯科技槍刃,zh-TW
Hexágono dorado de Yasuo,犽宿的黃金棋格,zh-TW
Hidra Titánica,泰坦九頭蛇,zh-TW
Hidra Titânica,泰坦九頭蛇,zh-TW
Hidra titanilor,泰坦九頭蛇,zh-TW
Hidra titánica,泰坦九頭蛇,zh-TW
Higany,水銀兜帽,zh-TW
High Voltage,高電壓,zh-TW
Hilfspaket,物資箱,zh-TW
Hirte,星靈牧者,zh-TW
Hirte-Emblem,星靈牧者徽章,zh-TW
Historia Powrotu do Chwały,逆轉佳話,zh-TW
Hivatásos bokszoló,拳擊選手,zh-TW
Hiçlik Değneği,虛空之杖,zh-TW
Hiçlik Eldiveni,虛空武鬥場,zh-TW
Hiện Thân Phản Chiếu,鏡像人格,zh-TW
Hiện Thân Phản Chiếu Cỡ Nhỏ,初級鏡像人格,zh-TW
Hochspannung,高電壓,zh-TW
Hoja de furia de Guinsoo,鬼索的狂暴之刃,zh-TW
Hoja maldita,詛咒之刃,zh-TW
Hojas más letales,更致命之刃,zh-TW
Hold the Line,堅守前線,zh-TW
Holofote Compartilhado do Yasuo,犽宿之共享光采,zh-TW
Honneur du Maître de guerre,戰國軍閥之榮耀,zh-TW
Honor Watażki,戰國軍閥之榮耀,zh-TW
Honor de señor de la guerra,戰國軍閥之榮耀,zh-TW
Honor del Caudillo,戰國軍閥之榮耀,zh-TW
Honra do Mestre da Guerra,戰國軍閥之榮耀,zh-TW
Hordozható kohó,攜帶型打鐵舖,zh-TW
Horizon Focus,視界專注,zh-TW
Horizont,視界專注,zh-TW
Horizontfokus,視界專注,zh-TW
Hortlak Palası,鬼使彎刀,zh-TW
Hosszú távú befektetés,長久之計,zh-TW
Hrdinská dárková taška,英雄禮包,zh-TW
Hurdacının Lütfu,女武神的祝福,zh-TW
Hurto,盜取,zh-TW
Hustler,私房錢,zh-TW
Huy Hiệu Lightshield,光盾之紋,zh-TW
Huyết Giá,血償,zh-TW
Huyết Kiếm,嗜血者,zh-TW
Huyết Trượng Tha Hóa,詛咒吸血鬼權杖,zh-TW
Huyết Tế,血祭,zh-TW
Huấn Luyện Cận Vệ,保鑣訓練,zh-TW
Hvězdná obnova,鴻運當頭,zh-TW
Hvězdné kombo,星光連鎖,zh-TW
Hvězdopravec,占星師,zh-TW
Hydre titanesque,泰坦九頭蛇,zh-TW
Hàng Chờ Pandora,潘朵拉的備戰區,zh-TW
Hàng Chờ Đấu Đôi,雙排,zh-TW
Hành Tinh,太空律動,zh-TW
Hào Quang Của Ahri,阿璃的靈氣,zh-TW
Hào Quang Nhân Vật Chính,主角威能,zh-TW
Hármak légiója,「三」之軍團,zh-TW
Hármas kombó I.,三連勝I,zh-TW
Hátsó vonal tervrajza,後排藍圖,zh-TW
Hâkim,仲裁者,zh-TW
Hâkim Amblemi,仲裁者徽章,zh-TW
Hình Nhân,訓練假人,zh-TW
Hình Nhân Hóa,鈍化,zh-TW
Hình Nộm Va Chạm,碰撞測試,zh-TW
Hút Sinh Lực,吸血活力,zh-TW
Hücum Gürzü,打手連枷,zh-TW
Hükümdarın Seçimi,神寵者,zh-TW
Hırsız Eldiveni,竊賊手套,zh-TW
Hırsız Çetesi,神偷軍團,zh-TW
Hırsız Çetesi II,神偷軍團 II,zh-TW
Hızlı Başlangıç,加速開始,zh-TW
Hızlı Yükseliş,脫穎而出,zh-TW
Hızlı İkide İki,疾速雙殺,zh-TW
Hősies zsákbamacska,英雄禮包,zh-TW
Hůl Prázdnoty,虛空之杖,zh-TW
Hướng Đến Hồi Kết,專打後期,zh-TW
Hưởng Ké Hào Quang Yasuo,犽宿之共享光采,zh-TW
Hạ Đo Ván,砸起來,zh-TW
Hắc Tinh,幽冥煞星,zh-TW
Hố Đen Tí Hon,迷你黑洞,zh-TW
Hủy Diệt,燼滅之華,zh-TW
Ia arcul meu,吾弓效命於您,zh-TW
Idol interzis,禁忌之像,zh-TW
Idole interdite,禁忌之像,zh-TW
Idolo proibito,禁忌之像,zh-TW
Idra titanica,泰坦九頭蛇,zh-TW
Időtörő,時間破壞者,zh-TW
Időtörő embléma,時間破壞者徽章,zh-TW
Ikerőrzők,雙生守衛,zh-TW
Il Drago dorato,黃金巨龍,zh-TW
Il massimo con il minimo,最大最小化,zh-TW
Il potente Mech,超能機甲,zh-TW
Illaoi,伊羅旖,zh-TW
Iluminare parțială,不完全飛昇,zh-TW
Immer höher hinauf,攀升之階I,zh-TW
Impermeabile sospetto,可疑風衣,zh-TW
Impianti cibernetici,模控機械移植,zh-TW
Impianto empatico,共感植入,zh-TW
Implant Współczulny,共感植入,zh-TW
Implant cybernétique,共感植入,zh-TW
Implant empatic,共感植入,zh-TW
Implante Simpático,共感植入,zh-TW
Implante Solidário,共感植入,zh-TW
Implante simpático,共感植入,zh-TW
Implantes Cibernéticos,模控機械移植,zh-TW
Implantes cibernéticos,模控機械移植,zh-TW
Implants cybernétiques,模控機械移植,zh-TW
Implanturi cibernetice,模控機械移植,zh-TW
Implanty Cybernetyczne,模控機械移植,zh-TW
Impossível Recusar,嘟嘟好,zh-TW
Improvisierte Rüstung,臨時戰甲,zh-TW
Improwizowana Zbroja,臨時戰甲,zh-TW
Impuesto Cognitivo,智商稅,zh-TW
Impuesto cognitivo,智商稅,zh-TW
In quattro e quattr'otto,四重援軍,zh-TW
Inactividad,強制中離,zh-TW
Inadaptados,怪咖集合,zh-TW
Inadaptați,怪咖集合,zh-TW
Inaktivitás,強制中離,zh-TW
Incantație continuă,連續施法,zh-TW
Indiscriminate Killer,無差別屠殺,zh-TW
Indomable,不屈鬥魂,zh-TW
Indomável,不屈鬥魂,zh-TW
Infinity Edge,無盡之刃,zh-TW
Infinity Protection,無限守護,zh-TW
Inicio Veloz,加速開始,zh-TW
Inimă de oțel,心之抗防,zh-TW
Initiateur,先鋒戰士,zh-TW
Innervating Locket,支配寶匣,zh-TW
Instinct d'Evelynn,伊芙琳的本能,zh-TW
Instinctul lui Evelynn,伊芙琳的本能,zh-TW
Instinto de Evelynn,伊芙琳的本能,zh-TW
Instynkt Evelynn,伊芙琳的本能,zh-TW
Insígnia do Lumescudo,光盾之紋,zh-TW
Intermediar,降靈師,zh-TW
Invadatorul Zed,影忍煞星：劫,zh-TW
Invader Zed,影忍煞星：劫,zh-TW
Invasión de Zed,影忍煞星：劫,zh-TW
Invasor Zed,影忍煞星：劫,zh-TW
Inversión,投資,zh-TW
Invested,投資,zh-TW
Investice,投資,zh-TW
Investiert,投資,zh-TW
Investimento,投資,zh-TW
Investissement,投資,zh-TW
Investissement sur le futur,超前部署,zh-TW
Investitura,投資,zh-TW
Investiční fond,避險基金,zh-TW
Investiție,投資,zh-TW
Inwestycja,長久之計,zh-TW
Início Rápido,加速開始,zh-TW
Ionic Spark,離子星火,zh-TW
Ionischer Funke,離子星火,zh-TW
Ionos szikra,離子星火,zh-TW
Iontová jiskra,離子星火,zh-TW
Iron Assets,鋼鐵素材,zh-TW
Isteni párbajhős,神鬥士,zh-TW
Istennő könnycseppje,女神之淚,zh-TW
Istenáldotta,神寵者,zh-TW
Istinto di Evelynn,伊芙琳的本能,zh-TW
Item Grab Bag,道具組合包I,zh-TW
Itens de Pandora,潘朵拉的道具,zh-TW
Iubire nezdruncinată,堅定之心,zh-TW
Işıltılı Serseri,聖光無賴,zh-TW
JEDU SI TO SVOJE,不偵察不換陣容,zh-TW
Ja Gram Solo,獨自升等,zh-TW
Jaf,盜取,zh-TW
Jaful componentelor,組件強盜,zh-TW
Jakim Kosztem,不惜代價,zh-TW
Jax,賈克斯,zh-TW
Jaximus,伸手摘星,zh-TW
"Jeden buff, dva buffy",一個Buff，兩個Buff,zh-TW
"Jedna, dva, tři",一二三,zh-TW
Jeu de patience,耐心是美德,zh-TW
Jeweled Gauntlet,寶石手套,zh-TW
Jeweled Lotus,珠光蓮花II,zh-TW
Jhin,燼,zh-TW
Jinx,吉茵珂絲,zh-TW
Jogada Levemente Mágica,一點點重抽魔法,zh-TW
Jogada Mágica,魔法擲骰,zh-TW
Jogada de Urf,阿福奇兵,zh-TW
Joia da Ruína,枯萎寶石,zh-TW
Jonowa Iskra,離子星火,zh-TW
Jour de relance,抽好抽滿I,zh-TW
Joya Maldita,枯萎寶石,zh-TW
Joya de la plaga,枯萎寶石,zh-TW
Joyau putréfiant,枯萎寶石,zh-TW
Jugadas arriesgadas,高風險高報酬,zh-TW
Juge stellaire,仲裁者,zh-TW
Juguito de Gorrito,帽帽果汁,zh-TW
Juramento del Protector,保衛者之誓,zh-TW
Juramento do Cavaleiro,騎士誓願,zh-TW
Juramento do Protetor,保衛者之誓,zh-TW
Jurământul protectorului,保衛者之誓,zh-TW
Jus chapi-chapo,帽帽果汁,zh-TW
Just Hit,嘟嘟好,zh-TW
Justice critique,復仇,zh-TW
Juwelenbesetzter Handschuh,寶石手套,zh-TW
Juwelenbesetzter Lotus,珠光蓮花II,zh-TW
Jádro obchodu,貿易核心,zh-TW
Jádro úsvitu,破曉之核,zh-TW
Jó sorozat,鴻運當頭,zh-TW
Jóbarát rendelésre,開局新手包,zh-TW
Jós,神諭,zh-TW
Jótékony visszhang,治癒回音,zh-TW
K. N. kard,暴風之劍,zh-TW
K. V. meč,暴風之劍,zh-TW
K.W. Miecz,暴風之劍,zh-TW
"KEIN UMSEHEN, KEIN WECHSELN",不偵察不換陣容,zh-TW
Kaderbaz,命運編織者,zh-TW
Kahraman Çekilişi,英雄禮包,zh-TW
Kahuna,真派氣功,zh-TW
Kahunahuna,真派氣功,zh-TW
Kai'Sa,凱莎,zh-TW
Kamekameha,真派氣功,zh-TW
Kamienna Płyta Gargulca,石像鬼磐核,zh-TW
Kamizelka Cierniowa,刺藤胸甲,zh-TW
Kamizelka Kolcza,鎖子甲,zh-TW
Kampfhandschuhe,格鬥手套,zh-TW
Kan Adağı,血祭,zh-TW
Kan Bedeli,血償,zh-TW
Kanalisierer,降靈師,zh-TW
Kanalisierermodus,降靈師模式,zh-TW
Kanasusamış,嗜血者,zh-TW
Kanciarz,私房錢,zh-TW
Kanoucí slzy,淚光閃閃,zh-TW
Kapelusze Zabójcze jak Nigdy,致死之帽,zh-TW
Karanlık Leydi,闇翼魔女,zh-TW
Kararlı Yürek,堅定之心,zh-TW
Karayel,西風匕首,zh-TW
Kardkovács,劍匠,zh-TW
Kardszállítmány,刀劍湧流,zh-TW
Karma,卡瑪,zh-TW
Kayle felmagasztosulása,凱爾的讚頌,zh-TW
Kayle ragyogó felmagasztosulása,凱爾的聖光讚頌,zh-TW
Kayle áldása,凱爾的祝福,zh-TW
Kayle's Boon,凱爾的祝福,zh-TW
Kayle's Exaltation,凱爾的讚頌,zh-TW
Kayle's Radiant Exaltation,凱爾的聖光讚頌,zh-TW
Kayle'ın Işıltılı Yüceliği,凱爾的聖光讚頌,zh-TW
Kayle'ın Lütfu,凱爾的祝福,zh-TW
Kayle'ın Yüceliği,凱爾的讚頌,zh-TW
Kayles Hochgefühl,凱爾的讚頌,zh-TW
Kayles Segen,凱爾的祝福,zh-TW
Kayles strahlendes Hochgefühl,凱爾的聖光讚頌,zh-TW
Kaylin dar,凱爾的祝福,zh-TW
Kaylino povznesení,凱爾的讚頌,zh-TW
Kaylino zářivé povznesení,凱爾的聖光讚頌,zh-TW
Kaz Gelecek Yerden...,高風險高報酬,zh-TW
Kedi Olalı Bir Fare,死得有價值I,zh-TW
Kedvez a szerencse,鴻運當頭,zh-TW
Kefaret Ruhu,靈魂救贖,zh-TW
Kelch der Macht,力量聖杯,zh-TW
Kemer Fazlalığı,腰帶多多,zh-TW
Kereskedelmi központ,貿易核心,zh-TW
Keresők karvértje,探索者護腕,zh-TW
Keskin Nişancı,狙擊專家,zh-TW
Keskin Nişancı Amblemi,狙擊專家徽章,zh-TW
Kettenweste,鎖子甲,zh-TW
Keşif Gezisi,遠征,zh-TW
Khiên Hoàng Hôn,黃昏聖盾,zh-TW
Khiên Hừng Đông,黎明聖盾,zh-TW
Khiên Đơn Đấu,單人磐核,zh-TW
Kho Báu Chôn Giấu,地底寶藏,zh-TW
Kho Báu Sắt,鋼鐵素材,zh-TW
Khu Giao Dịch,交易之星,zh-TW
Khuyến Mãi Kinh Nghiệm,升級！,zh-TW
Khéo Tay Hay Làm,精心製作,zh-TW
Khảm Bảo Thạch,珠光蓮花II,zh-TW
Khế Ước Vĩnh Hằng,永恆契約,zh-TW
Khổng Lồ Hóa,小小大英雄,zh-TW
Khổng Lồ Tí Hon,迷你小英雄,zh-TW
Khởi Động Nhanh,加速開始,zh-TW
Kibernetikus fellövő,模控機械上鏈,zh-TW
Kibernetikus implantátumok,模控機械移植,zh-TW
Kick Start,加速開始,zh-TW
Kickstart,加速開始,zh-TW
"Kicsi, de halálos",致命豆丁,zh-TW
Kihívó,極速快手,zh-TW
Kihívó embléma,極速快手徽章,zh-TW
Kihívó mód,極速快手模式,zh-TW
Kiirtó,燼滅之華,zh-TW
Kim Long,黃金巨龍,zh-TW
Kimaxolt összeállítás,頂裝,zh-TW
Kincsvadászat,尋寶遊戲,zh-TW
Kindred,鏡爪,zh-TW
Kiralık Katil,契約殺手,zh-TW
Kis zsákbamacska,小型禮包,zh-TW
Kiên Nhẫn Của Ekko,艾克的耐心,zh-TW
Kiên Nhẫn Học Tập,耐心學習,zh-TW
Kiên Nhẫn Là Một Đức Tính,耐心是美德,zh-TW
Kişiselleştirme Fırsatı,量身訂做,zh-TW
Kiếm B.F.,暴風之劍,zh-TW
Kiếm Cong,詛咒之刃,zh-TW
Kiếm Súng Hextech,海克斯科技槍刃,zh-TW
Kiếm Tai Ương,巫妖之禍,zh-TW
Kiếm Thuật Của Yasuo,犽宿的迅雷之技,zh-TW
Kiếm Tử Thần,更致命之刃,zh-TW
Kiếm Tử Thần,死神之刃,zh-TW
Klarer Geist,思緒清晰,zh-TW
Klaue des Meuchlers,潛行者之爪,zh-TW
Kleine Freunde,小小夥伴,zh-TW
Kleine Wundertüte,小型禮包,zh-TW
Kleine gespiegelte Persona,初級鏡像人格,zh-TW
Kleines schwarzes Loch,迷你黑洞,zh-TW
Klejnot Rozpadu,枯萎寶石,zh-TW
Klenot nákazy,枯萎寶石,zh-TW
Klinge der Unendlichkeit,無盡之刃,zh-TW
Klinge des Todes,死神之刃,zh-TW
Klonprogramm,複製,zh-TW
Kluftkrabbler,河蟹,zh-TW
Knallhart,主角威能,zh-TW
Knight's Vow,騎士誓願,zh-TW
Kniha vlastností,特性典籍,zh-TW
Kognitive Steuer,智商稅,zh-TW
Kognitive Überladung,認知超載,zh-TW
Kognitivní přetížení,認知超載,zh-TW
Kognitivní zátěž,智商稅,zh-TW
Kognitív teher,智商稅,zh-TW
Kognitív túlterhelés,認知超載,zh-TW
Kolejka Duo,雙排,zh-TW
Koleżcy,小小夥伴,zh-TW
Kolosalna Hydra,泰坦九頭蛇,zh-TW
Kommandant,指揮官,zh-TW
Kommerzkern,貿易核心,zh-TW
Komponentenraub,組件強盜,zh-TW
Komutan,指揮官,zh-TW
Koniec Rozumu,智慧末刃,zh-TW
Konserwator Biomaterii,生物材料保存,zh-TW
Konto Oszczędnościowe,儲蓄帳戶,zh-TW
Konzervátor biomateriálu,生物材料保存,zh-TW
Kopyalama Süreci,複製,zh-TW
Korai tanulságok,早期教育,zh-TW
Korbacz Napastnika,打手連枷,zh-TW
Korona Taktyka,棋手皇冠,zh-TW
Korona Zawsze Będzie Ciążyć,沉重王冠,zh-TW
Koronaőr,皇冠守衛,zh-TW
Koroze,腐蝕,zh-TW
Korozja,腐蝕,zh-TW
Korozyon,腐蝕,zh-TW
Korrosion,腐蝕,zh-TW
Korrózió,腐蝕,zh-TW
Korszak,紀元,zh-TW
Koruma Eğitimi,保鑣訓練,zh-TW
Korunní stráž,皇冠守衛,zh-TW
Koruyucunun Müttefiki,守望者之友,zh-TW
Kosa Statikka,史提克彈簧刀,zh-TW
Kosmický restart,宇宙重啟,zh-TW
Kosmiczny Restart,宇宙重啟,zh-TW
Kosmischer Neubeginn,宇宙重啟,zh-TW
Kosmofaza,太空律動,zh-TW
Kostur Archanioła,大天使之杖,zh-TW
Kostur Pustki,虛空之杖,zh-TW
Kostur Serafina,熾天使之杖,zh-TW
Kosturnik,杖匠,zh-TW
Kouzelný hod,魔法擲骰,zh-TW
Kovácsolj barátot,鑄造朋友,zh-TW
Kozmik Başlangıç,宇宙重啟,zh-TW
Kozmikus újraindítás,宇宙重啟,zh-TW
Kraken'in Öfkesi,海妖之怒,zh-TW
Kraken's Fury,海妖之怒,zh-TW
Krakenův hněv,海妖之怒,zh-TW
Kraliyet Başlığı,皇冠守衛,zh-TW
Krev za krev,血償,zh-TW
Kriegsbeil des Höllenfeuers,獄火手斧,zh-TW
